        DISEASE,     Location,      YEAR,   ESTIMATED VALUE,   LOWER BOUND,   UPPER BOUND,,,,,,,,,,,,,,,,,,,,,,FactValueNumericHighPrefix,,,,,Language,DateModified
MALARIA,Nigeria,2024,68466353,49100000,92460000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2023,68136453,49140000,92560000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2022,66721582,48080000,89900000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2021,65399501,47520000,89000000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2020,65133759,46800000,88650000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2019,61379283,47440000,78810000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2018,59652248,46930000,75230000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2017,57869533,45870000,72050000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2016,55667334,44060000,69130000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2015,54115123,43300000,67110000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2014,53483458,42810000,65930000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2013,53921321,43380000,66320000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2012,55718235,44970000,68540000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2011,58184509,46920000,71320000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2010,60551056,49030000,73900000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2009,63192869,51800000,76430000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2008,63355538,51780000,76750000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2007,61400329,49660000,75070000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2006,59418382,47900000,72790000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2005,57411916,46230000,70620000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2004,55028747,43690000,68160000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2003,52423482,40940000,66420000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2002,50952482,39530000,64780000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2001,51229713,39830000,65120000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
MALARIA,Nigeria,2000,50779020,39480000,64300000,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,2025-12-18T23:00:00.000Z
